Genome_Name,TaxonID
Mycobacterium massiliense 1S-151-0930,1001704
Mycobacterium massiliense 1S-152-0914,1001705
Mycobacterium massiliense 1S-153-0915,1001706
Mycobacterium massiliense 1S-154-0310,1001707
Mycobacterium massiliense 2B-0626,1001708
Mycobacterium massiliense 2B-1231,1001709
Mycobacterium massiliense 2B-0107,1001710
Mycobacterium massiliense 2B-0912-R,1001711
Mycobacterium massiliense 2B-0912-S,1001712
Mycobacterium massiliense 2B-0307,1001713
Mycobacterium abscessus 3A-0122-R,1001715
Mycobacterium abscessus 3A-0122-S,1001716
Mycobacterium abscessus 3A-0810-R,1001717
Mycobacterium abscessus 3A-0731,1001718
Mycobacterium abscessus 3A-0930-S,1001719
Mycobacterium abscessus 3A-0930-R,1001720
Mycobacterium abscessus 3A-0119-R,1001721
Mycobacterium abscessus 4S-0303,1001722
Mycobacterium abscessus 4S-0206,1001723
Mycobacterium abscessus 4S-0116-S,1001724
Mycobacterium abscessus 4S-0116-R,1001725
Mycobacterium abscessus 4S-0726-RA,1001726
Mycobacterium abscessus 4S-0726-RB,1001727
Mycobacterium abscessus 5S-0304,1001728
Mycobacterium abscessus 5S-0421,1001729
Mycobacterium abscessus 5S-0708,1001730
Mycobacterium abscessus 5S-0422,1001731
Mycobacterium abscessus 5S-0921,1001732
Mycobacterium abscessus 5S-1212,1001733
Mycobacterium abscessus 5S-1215,1001734
Mycobacterium abscessus 5S-0817,1001735
Mycobacterium abscessus 6G-0728-S,1001736
Mycobacterium abscessus 6G-0728-R,1001737
Mycobacterium abscessus 6G-1108,1001738
Mycobacterium abscessus 6G-0212,1001739
Mycobacterium abscessus 6G-0125-R,1001740
Mycobacterium abscessus 6G-0125-S,1001741
Mycobacterium avium subsp. paratuberculosis Pt139,1029815
Mycobacterium avium subsp. paratuberculosis Pt144,1029816
Mycobacterium avium subsp. paratuberculosis Pt145,1029817
Mycobacterium avium subsp. paratuberculosis Pt146,1029818
Mycobacterium avium subsp. paratuberculosis Pt154,1029819
Mycobacterium avium subsp. paratuberculosis Pt155,1029820
Mycobacterium avium subsp. paratuberculosis Pt164,1029821
Mycobacterium colombiense CECT 3035 strain CECT 3035,1041522
Mycobacterium colombiense CECT 3035,1041522
Mycobacterium avium subsp. paratuberculosis 4B,1078003
Mycobacterium mageritense JR2009,1087053
Mycobacterium abscessus subsp. bolletii INCQS 00594,1087469
Mycobacterium abscessus 47J26,1087483
Mycobacteroides abscessus subsp. bolletii BD,1091046
Mycobacterium heckeshornense strain JMUB5695,110505
Mycobacterium heckeshornense strain RLE,110505
Mycobacterium heckeshornense strain CTRI-134,110505
Mycobacterium heckeshornense strain JCM 15655,110505
Mycobacterium longobardum strain DSM 45394,1108812
Mycobacterium hassiacum DSM 44199,1122247
Mycobacterium ulcerans subsp. shinshuense strain ATCC 33728,1124626
Mycobacterium abscessus UC22,1132508
Mycobacterium paraintracellulare strain M012,1138383
Mycobacterium paraintracellulare strain M017,1138383
Mycobacterium paraintracellulare strain M027,1138383
Mycobacterium paraintracellulare strain M029,1138383
Mycobacterium paraintracellulare strain M021,1138383
Mycobacterium paraintracellulare strain M001,1138383
Mycobacterium paraintracellulare strain M019,1138383
Mycobacterium paraintracellulare strain M011,1138383
Mycobacterium paraintracellulare strain M003,1138383
Mycobacterium paraintracellulare strain M020,1138383
Mycobacterium paraintracellulare strain M015,1138383
Mycobacterium abscessus M93,1149134
Mycobacterium xenopi RIVM700367,1150591
Mycobacterium phlei RIVM601174,1150599
Mycobacterium abscessus M94,1158135
Mycobacterium tuberculosis variant caprae strain NLA000701671,115862
Mycobacterium tuberculosis variant caprae strain NLA00020191,115862
Mycobacterium tuberculosis variant caprae strain NLA000201913,115862
Mycobacterium avium subsp. hominissuis A5,1160711
Mycobacterium avium subsp. hominissuis 3388,1160712
Mycobacterium massiliense M18,1162283
Mycobacterium abscessus M24,1162284
Mycobacterium abscessus M159,1162285
Mycobacterium abscessus M172,1162286
Mycobacterium abscessus M115,1162287
Mycobacterium abscessus M154,1162288
Mycobacterium sp. H4Y,1168288
Mycobacterium abscessus M139,1175632
Mycobacterium abscessus M148,1175633
Mycobacterium abscessus M152,1176125
Mycobacterium abscessus M156,1185414
Mycobacterium abscessus subsp. abscessus strain 600,1185650
Mycobacteroides abscessus subsp. abscessus strain 3563-15,1185650
Mycobacteroides abscessus subsp. abscessus strain 8844-15,1185650
Mycobacteroides abscessus subsp. abscessus strain 4549-15,1185650
Mycobacteroides abscessus subsp. abscessus strain 11351-15,1185650
Mycobacterium abscessus subsp. abscessus strain 601,1185650
Mycobacterium abscessus subsp. abscessus strain 602,1185650
Mycobacterium abscessus subsp. abscessus strain 604,1185650
Mycobacterium abscessus subsp. abscessus strain 606,1185650
Mycobacterium abscessus subsp. abscessus strain 613,1185650
Mycobacteroides abscessus subsp. abscessus strain GD17,1185650
Mycobacterium abscessus subsp. abscessus strain 612,1185650
Mycobacterium abscessus subsp. abscessus strain 615,1185650
Mycobacterium abscessus subsp. abscessus strain 611,1185650
Mycobacterium abscessus subsp. abscessus strain 619,1185650
Mycobacterium abscessus subsp. abscessus strain 625,1185650
Mycobacterium abscessus subsp. abscessus strain 629,1185650
Mycobacterium abscessus subsp. abscessus strain 634,1185650
Mycobacterium abscessus subsp. abscessus strain 630,1185650
Mycobacterium abscessus subsp. abscessus strain 633,1185650
Mycobacterium abscessus subsp. abscessus strain 639,1185650
Mycobacterium abscessus subsp. abscessus strain 638,1185650
Mycobacterium abscessus subsp. abscessus strain 649,1185650
Mycobacterium abscessus subsp. abscessus strain 654,1185650
Mycobacterium abscessus subsp. abscessus strain 650,1185650
Mycobacterium abscessus subsp. abscessus strain 657,1185650
Mycobacterium abscessus subsp. abscessus strain 658,1185650
Mycobacterium abscessus subsp. abscessus strain 660,1185650
Mycobacterium abscessus subsp. abscessus strain 661,1185650
Mycobacterium abscessus subsp. abscessus strain 672,1185650
Mycobacterium abscessus subsp. abscessus strain 671,1185650
Mycobacterium abscessus subsp. abscessus strain 678,1185650
Mycobacterium abscessus subsp. abscessus strain 685,1185650
Mycobacterium abscessus subsp. abscessus strain 680,1185650
Mycobacterium abscessus subsp. abscessus strain 689,1185650
Mycobacterium abscessus subsp. abscessus strain 684,1185650
Mycobacterium abscessus subsp. abscessus strain 693,1185650
Mycobacterium abscessus subsp. abscessus strain 574,1185650
Mycobacterium abscessus subsp. abscessus strain 696,1185650
Mycobacterium abscessus subsp. abscessus strain 585,1185650
Mycobacterium abscessus subsp. abscessus strain 702,1185650
Mycobacterium abscessus subsp. abscessus strain 701,1185650
Mycobacterium abscessus subsp. abscessus strain 708,1185650
Mycobacterium abscessus subsp. abscessus strain 724,1185650
Mycobacterium abscessus subsp. abscessus strain 711,1185650
Mycobacterium abscessus subsp. abscessus strain 712,1185650
Mycobacterium abscessus subsp. abscessus strain 1136,1185650
Mycobacterium abscessus subsp. abscessus strain 1099,1185650
Mycobacterium abscessus subsp. abscessus strain 1106,1185650
Mycobacterium abscessus subsp. abscessus strain 1098,1185650
Mycobacterium abscessus subsp. abscessus strain 1105,1185650
Mycobacterium abscessus subsp. abscessus strain 1138,1185650
Mycobacterium abscessus subsp. abscessus strain 1135,1185650
Mycobacterium abscessus subsp. abscessus strain 1139,1185650
Mycobacterium abscessus subsp. abscessus strain 1137,1185650
Mycobacterium abscessus subsp. abscessus strain 589,1185650
Mycobacterium abscessus subsp. abscessus strain 264,1185650
Mycobacterium abscessus subsp. abscessus strain 581,1185650
Mycobacterium abscessus subsp. abscessus strain 279,1185650
Mycobacterium abscessus subsp. abscessus strain 248,1185650
Mycobacterium abscessus subsp. abscessus strain 195,1185650
Mycobacterium abscessus subsp. abscessus strain 683,1185650
Mycobacterium abscessus subsp. abscessus strain 647,1185650
Mycobacterium abscessus subsp. abscessus strain 687,1185650
Mycobacterium abscessus subsp. abscessus strain 530,1185650
Mycobacterium abscessus subsp. abscessus strain 513,1185650
Mycobacterium abscessus subsp. abscessus strain 527,1185650
Mycobacterium abscessus subsp. abscessus strain 664,1185650
Mycobacterium abscessus subsp. abscessus strain 521,1185650
Mycobacterium abscessus subsp. abscessus strain 686,1185650
Mycobacterium abscessus subsp. abscessus strain 710,1185650
Mycobacterium abscessus subsp. abscessus strain 668,1185650
Mycobacterium abscessus subsp. abscessus strain 590,1185650
Mycobacterium abscessus subsp. abscessus strain 626,1185650
Mycobacterium abscessus subsp. abscessus strain 667,1185650
Mycobacterium abscessus subsp. abscessus strain 627,1185650
Mycobacterium abscessus subsp. abscessus strain 623,1185650
Mycobacterium abscessus subsp. abscessus strain 723,1185650
Mycobacterium abscessus subsp. abscessus strain 640,1185650
Mycobacterium abscessus subsp. abscessus strain 706,1185650
Mycobacterium abscessus subsp. abscessus strain 134,1185650
Mycobacterium abscessus subsp. abscessus strain 642,1185650
Mycobacterium abscessus subsp. abscessus strain 136,1185650
Mycobacterium abscessus subsp. abscessus strain 129,1185650
Mycobacterium abscessus subsp. abscessus strain 131,1185650
Mycobacterium abscessus subsp. abscessus strain 87,1185650
Mycobacterium abscessus subsp. abscessus strain 88,1185650
Mycobacterium abscessus subsp. abscessus strain 5,1185650
Mycobacterium abscessus subsp. abscessus strain 7,1185650
Mycobacterium abscessus subsp. abscessus strain 8,1185650
Mycobacterium abscessus subsp. abscessus strain 16,1185650
Mycobacterium abscessus subsp. abscessus strain 15,1185650
Mycobacterium abscessus subsp. abscessus strain 13,1185650
Mycobacterium abscessus subsp. abscessus strain 14,1185650
Mycobacterium abscessus subsp. abscessus strain 725,1185650
Mycobacterium abscessus subsp. abscessus strain 722,1185650
Mycobacterium abscessus subsp. abscessus strain 709,1185650
Mycobacterium abscessus subsp. abscessus strain 721,1185650
Mycobacterium abscessus subsp. abscessus strain 703,1185650
Mycobacterium abscessus subsp. abscessus strain 699,1185650
Mycobacterium abscessus subsp. abscessus strain 692,1185650
Mycobacterium abscessus subsp. abscessus strain 675,1185650
Mycobacterium abscessus subsp. abscessus strain 665,1185650
Mycobacterium abscessus subsp. abscessus strain 662,1185650
Mycobacterium abscessus subsp. abscessus strain 669,1185650
Mycobacterium abscessus subsp. abscessus strain 676,1185650
Mycobacterium abscessus subsp. abscessus strain 653,1185650
Mycobacterium abscessus subsp. abscessus strain 656,1185650
Mycobacterium abscessus subsp. abscessus strain 644,1185650
Mycobacterium abscessus subsp. abscessus strain 641,1185650
Mycobacterium abscessus subsp. abscessus strain 617,1185650
